0,headline-chapter,3
1,none,none
2,headline-section,7
3,part,1
4,part,2
5,part,3
6,none,none
7,none,none
8,none,none
9,none,none
10,none,none
11,headline-section,8
12,part,1
13,part,2
14,part,3
15,none,none
16,headline-section,9
17,part,1
18,sub-part,a
19,none,none
20,sub-part,b
21,none,none
22,sub-part,c
23,none,none
24,part,2
25,sub-part,a
26,none,none
27,sub-part,b
28,none,none
29,part,3
30,part,4
31,part,5
32,part,6
33,part,7
34,none,none
35,headline-section,10
36,part,1
37,part,2
38,part,3
39,part,4
40,part,5
41,part,6
42,part,7
43,part,8
44,part,9
45,part,10
46,none,none
47,headline-section,11
48,part,1
49,part,2
50,none,none
51,headline-section,12
52,part,1
53,part,2
54,part,3
55,part,4
56,part,5
57,none,none
58,headline-section,13
59,none,none
60,none,none
61,headline-section,14
62,part,1
63,part,2
64,part,3
65,part,4
66,none,none
67,headline-section,15
68,part,1
69,part,2
70,part,3
71,part,4
72,part,5
73,none,none
74,headline-section,16
75,part,1
76,part,2
77,none,none
78,headline-section,17
79,part,1
80,part,1
81,part,3
82,part,4
83,none,none
84,none,none
85,none,none
86,none,none
87,none,none
88,headline-section,18
89,none,none
90,none,none
91,headline-section,19
92,none,none
93,none,none
94,headline-section,20
95,part,1
96,part,2
97,part,3
98,none,none
99,headline-section,21
100,part,1
101,sub-part,a
102,none,none
103,sub-part,b
104,none,none
105,part,2
106,none,none
107,headline-section,22
108,part,1
109,sub-part,a
110,none,none
111,sub-part,b
112,none,none
113,sub-part,c
114,none,none
115,sub-part,d
116,none,none
117,part,2
118,none,none
119,headline-section,23
120,part,1
121,part,2
122,part,3
123,part,4
124,none,none
125,headline-section,24
126,part,1
127,sub-part,a
128,none,none
129,sub-part,b
130,none,none
131,sub-part,c
132,none,none
133,sub-part,d
134,none,none
135,part,2
136,sub-part,a
137,none,none
138,sub-part,b
139,none,none
140,part,3
141,part,4
142,part,5
143,none,none
144,headline-section,25
145,none,none
