3,vessel
4,vessel
4,vessel
5,vessel
5,vessel
5,vessel
12,vessel
13,vessel
13,vessel
14,vessel
14,vessel
36,vessel
39,pipe
40,pipe
40,pipe
41,pipe
42,pipe
45,vessel
51,pipe
52,pipe
53,pipe
53,pipe
53,pipe
53,pipe
53,pipe
53,pipe
54,pipe
55,pipe
55,pipe
56,pipe
56,pipe
61,vessel
62,vessel
65,vessel
65,pipe
68,vessel
71,vessel
75,vessel
76,vessel
79,vessel
79,vessel
89,vessel
96,vessel
96,pipe
96,pipe
100,pipe
100,pipe
100,pipe
100,pipe
101,pipe
103,pipe
103,pipe
108,vessel
117,vessel
120,vessel
121,vessel
122,vessel
123,vessel
126,vessel
140,vessel
140,vessel
142,vessel
145,vessel
78,fire extinguisher
79,fire extinguisher
79,fire extinguisher
79,fire extinguisher
79,fire extinguisher
80,fire extinguisher
80,fire extinguisher
82,fire extinguisher
142,emergency light
